model,task,term,SS,df,F,p_value,pct_total_ss
qwen3.6-27b,burn,KB_c:SK_c,0.0011417640999999868,1.0,0.015388358619083138,0.9013394094336894,0.00391752249375571
qwen3.6-27b,burn,WS_c:SK_c,0.018862275599999805,1.0,0.2542201679881001,0.6144023467097747,0.06471861301859076
qwen3.6-27b,burn,KB_c:WS_c:SK_c,0.01905780249999984,1.0,0.2568554216774377,0.6125737542877225,0.06538948805213268
qwen3.6-27b,burn,Residual,29.085072572,392.0,,,99.79419219200231
qwen3.6-27b,change,KB_c,0.002306400624999831,1.0,0.04477901550804836,0.8325208689071534,0.011254389466469195
qwen3.6-27b,change,WS_c,0.012200307025000147,1.0,0.2368702694378922,0.6267477653499991,0.05953302534760708
qwen3.6-27b,change,KB_c:WS_c,0.00917859802500017,1.0,0.17820346510860607,0.6731531492556337,0.04478819326088434
qwen3.6-27b,change,SK_c,0.2375733822250042,1.0,4.612512696901365,0.03235198453123096,1.1592710049784793
qwen3.6-27b,change,KB_c:SK_c,0.0029425200250000503,1.0,0.05712934188622575,0.8112169621235931,0.014358418921360491
qwen3.6-27b,change,WS_c:SK_c,0.029307728025000153,1.0,0.5690126830143577,0.45110441351520647,0.1430109678238272
qwen3.6-27b,change,KB_c:WS_c:SK_c,0.009371208025000098,1.0,0.18194300891704682,0.6699428863759553,0.045728059445292776
qwen3.6-27b,change,Residual,20.190462759,392.0,,,98.52205594075608
qwen3.6-27b,landcover,KB_c,0.014158620099998761,1.0,0.679660218826884,0.41020509520069803,0.17227765960163227
qwen3.6-27b,landcover,WS_c,0.003120339599999757,1.0,0.14978653854482699,0.69894945532511,0.03796731599926878
qwen3.6-27b,landcover,KB_c:WS_c,0.0013593968999998254,1.0,0.06525551134227763,0.7985083144794548,0.01654071616779269
qwen3.6-27b,landcover,SK_c,0.014884000000002577,1.0,0.714480833977739,0.3984759056745387,0.18110385527692513
qwen3.6-27b,landcover,KB_c:SK_c,0.010764062500000062,1.0,0.5167103165807054,0.4726766067684563,0.13097374477233611
qwen3.6-27b,landcover,WS_c:SK_c,0.0005856399999999067,1.0,0.028112641468058582,0.8669307415259141,0.007125884292148828
qwen3.6-27b,landcover,KB_c:WS_c:SK_c,0.007508222499999718,1.0,0.3604193142629195,0.5486203617263613,0.09135770229956104
qwen3.6-27b,landcover,Residual,8.166108484,392.0,,,99.36265312159033
qwen3.6-27b,query,KB_c,0.0022915368999998505,1.0,0.04086496665201871,0.8399036638685583,0.010420280777394729
qwen3.6-27b,query,WS_c,0.0016008000999999427,1.0,0.02854706057888492,0.8659162325289618,0.007279300852839006
qwen3.6-27b,query,KB_c:WS_c,0.0032855824000000756,1.0,0.058591775331425594,0.8088622841303862,0.014940493048691232
qwen3.6-27b,query,SK_c,0.0006270016000001597,1.0,0.011181316554304918,0.9158413466590015,0.0028511575440386006
qwen3.6-27b,query,KB_c:SK_c,0.0011662225000000153,1.0,0.020797240302496387,0.8854067942699504,0.005303150867400903
qwen3.6-27b,query,WS_c:SK_c,0.00031862250000001097,1.0,0.005681993528921193,0.939951620963737,0.0014488686226243107
qwen3.6-27b,query,KB_c:WS_c:SK_c,0.00010941160000000953,1.0,0.0019511365430531329,0.9647900547173602,0.000497526176560445
qwen3.6-27b,query,Residual,21.981725139999998,392.0,,,99.95725922211044
qwen3.6-27b,water,KB_c,0.021598711224998506,1.0,0.15758521484438667,0.6916055885717775,0.040129836152134626
qwen3.6-27b,water,WS_c,0.023020475624999377,1.0,0.16795847490135346,0.6821564531320741,0.04277143693213565
qwen3.6-27b,water,KB_c:WS_c,0.015342538225000528,1.0,0.11193988184103287,0.7381252654029655,0.028506031619818382
qwen3.6-27b,water,SK_c,0.004578552224998678,1.0,0.03340533277826215,0.8550719893906266,0.008506829351490674
qwen3.6-27b,water,KB_c:SK_c,0.02217269902500007,1.0,0.16177305687991578,0.687748545844262,0.041196290355232035
qwen3.6-27b,water,WS_c:SK_c,0.0076326432249997035,1.0,0.05568812462523277,0.813568864075319,0.01418124992904338
qwen3.6-27b,water,KB_c:WS_c:SK_c,7.980625000008128e-06,1.0,5.8227016052845586e-05,0.9939155527516569,1.4827790894823529e-05
