model,task,contrast,delta,ci_low,ci_high,n_samples
deepseek-v4-pro,query,C3_vs_C0,-0.006772,-0.023414749999999998,0.01603454999999998,10
deepseek-v4-pro,query,C1_vs_C0,-0.0018859999999999808,-0.014982249999999968,0.01272240000000005,10
deepseek-v4-pro,query,C2_vs_C0,-0.01869799999999999,-0.030666399999999976,-0.0077014000000000015,10
deepseek-v4-pro,query,C5_vs_C3,-0.01140200000000001,-0.03871304999999999,0.018185299999999963,10
deepseek-v4-pro,query,C6_vs_C3,-0.012049999999999995,-0.022232299999999993,-0.0027668499999999982,10
deepseek-v4-pro,query,C7_vs_C3,0.018515999999999998,0.0013267000000000064,0.035914599999999984,10
deepseek-v4-pro,query,C7_vs_C0,0.011743999999999994,-0.01222464999999997,0.03880689999999998,10
deepseek-v4-pro,query,C4_vs_C0,-0.010169999999999993,-0.022208749999999985,0.0019287499999999951,10
deepseek-v4-pro,water,C3_vs_C0,-0.041915999999999995,-0.0998601,-0.003229850000000022,10
deepseek-v4-pro,water,C1_vs_C0,-0.050638000000000016,-0.13336920000000002,-0.004613649999999995,10
deepseek-v4-pro,water,C2_vs_C0,-0.019774,-0.0479436,-0.0014928500000000444,10
deepseek-v4-pro,water,C5_vs_C3,0.00032000000000000984,-0.011777799999999986,0.014781200000000019,10
deepseek-v4-pro,water,C6_vs_C3,0.03132799999999999,-0.0013201000000000465,0.08495935,10
deepseek-v4-pro,water,C7_vs_C3,0.024675999999999997,0.000999499999999985,0.05352609999999998,10
deepseek-v4-pro,water,C7_vs_C0,-0.01723999999999999,-0.049718799999999994,0.01654214999999998,10
deepseek-v4-pro,water,C4_vs_C0,0.00675399999999998,-0.039904800000000004,0.060426899999999964,10
kimi-k2.6,burn,C3_vs_C0,0.030207999999999992,-0.024904850000000003,0.09229879999999993,10
kimi-k2.6,burn,C1_vs_C0,0.016049999999999988,-0.010988600000000001,0.04811319999999987,10
kimi-k2.6,burn,C2_vs_C0,0.0011859999999999926,-0.07246569999999998,0.0663467,10
kimi-k2.6,burn,C5_vs_C3,-0.002504000000000012,-0.02978050000000002,0.02341434999999997,10
kimi-k2.6,burn,C6_vs_C3,-0.014063999999999993,-0.04064819999999998,0.00814624999999999,10
kimi-k2.6,burn,C7_vs_C3,0.016996,0.00732435,0.02859424999999998,10
kimi-k2.6,burn,C7_vs_C0,0.04720399999999999,-0.0015960500000000398,0.10556814999999996,10
kimi-k2.6,burn,C4_vs_C0,0.015583999999999983,-0.026402350000000005,0.07846524999999999,10
kimi-k2.6,change,C3_vs_C0,0.005555999999999997,-0.019238449999999987,0.03624549999999991,10
kimi-k2.6,change,C1_vs_C0,0.018006000000000008,-0.005811799999999967,0.04561634999999999,10
kimi-k2.6,change,C2_vs_C0,-0.005729999999999996,-0.021954750000000006,0.00988504999999997,10
kimi-k2.6,change,C5_vs_C3,-0.00016599999999999775,-0.007118700000000005,0.005476650000000014,10
kimi-k2.6,change,C6_vs_C3,-0.004000000000000007,-0.022140299999999998,0.007696049999999992,10
kimi-k2.6,change,C7_vs_C3,0.010306000000000013,0.003188850000000026,0.0185367,10
kimi-k2.6,change,C7_vs_C0,0.015862000000000008,-0.010614149999999982,0.049281099999999974,10
kimi-k2.6,change,C4_vs_C0,0.01405399999999998,-0.005147300000000017,0.03518729999999998,10
kimi-k2.6,landcover,C3_vs_C0,0.0045560000000000045,-0.0053429000000000115,0.016581100000000012,10
kimi-k2.6,landcover,C1_vs_C0,-0.016803999999999996,-0.05038774999999999,0.010014950000000028,10
kimi-k2.6,landcover,C2_vs_C0,-0.03910000000000001,-0.07659545000000001,-0.003154550000000093,10
kimi-k2.6,landcover,C5_vs_C3,-0.003434000000000004,-0.014045299999999953,0.006226149999999964,10
kimi-k2.6,landcover,C6_vs_C3,-0.011513999999999991,-0.04094224999999999,0.005234150000000004,10
kimi-k2.6,landcover,C7_vs_C3,-0.011189999999999978,-0.03248224999999998,0.0017645500000000075,10
kimi-k2.6,landcover,C7_vs_C0,-0.006633999999999973,-0.03171824999999998,0.01317865000000003,10
kimi-k2.6,landcover,C4_vs_C0,-0.031586,-0.0747048,0.0020007000000000085,10
kimi-k2.6,query,C3_vs_C0,0.0249,0.001541450000000008,0.047024149999999994,10
kimi-k2.6,query,C1_vs_C0,-0.006331999999999989,-0.048859699999999985,0.02609069999999999,10
kimi-k2.6,query,C2_vs_C0,-0.011912000000000006,-0.04021145000000001,0.020172799999999946,10
kimi-k2.6,query,C5_vs_C3,-0.03471,-0.07058029999999998,-0.010408200000000005,10
kimi-k2.6,query,C6_vs_C3,-0.02408200000000001,-0.05017890000000002,0.0034846499999999984,10
kimi-k2.6,query,C7_vs_C3,-0.028877999999999994,-0.05537139999999996,-0.0009315500000000283,10
kimi-k2.6,query,C7_vs_C0,-0.00397799999999999,-0.039942999999999985,0.027949099999999987,10
kimi-k2.6,query,C4_vs_C0,-0.03749199999999999,-0.08774974999999999,0.0016794999999999918,10
kimi-k2.6,water,C3_vs_C0,0.015133999999999995,-0.02936974999999996,0.05928619999999997,10
kimi-k2.6,water,C1_vs_C0,0.027949999999999975,-0.008708050000000004,0.07184759999999993,10
kimi-k2.6,water,C2_vs_C0,0.018895999999999993,-0.03411504999999998,0.07480369999999996,10
kimi-k2.6,water,C5_vs_C3,0.006932000000000003,-0.011876100000000004,0.03603355,10
kimi-k2.6,water,C6_vs_C3,0.026826000000000006,-0.003128100000000041,0.08088599999999999,10
kimi-k2.6,water,C7_vs_C3,0.03776800000000001,-0.0059773999999999956,0.11877050000000004,10
kimi-k2.6,water,C7_vs_C0,0.05290200000000002,0.00572674999999998,0.11129754999999998,10
kimi-k2.6,water,C4_vs_C0,0.02395599999999999,-0.03797434999999998,0.07863574999999999,10
qwen3-14b,burn,C3_vs_C0,-0.011528000000000014,-0.07293359999999997,0.058579299999999966,10
qwen3-14b,burn,C1_vs_C0,-0.009344000000000002,-0.046289049999999964,0.023409749999999976,10
qwen3-14b,burn,C2_vs_C0,-0.04667,-0.15014464999999996,0.042704149999999975,10
qwen3-14b,burn,C5_vs_C3,0.07646599999999999,0.011756599999999989,0.1678303499999999,10
qwen3-14b,burn,C6_vs_C3,0.03409000000000001,-0.03615419999999998,0.11055834999999992,10
qwen3-14b,burn,C7_vs_C3,0.04141199999999999,0.0018298999999999952,0.08514064999999996,10
qwen3-14b,burn,C7_vs_C0,0.029883999999999983,-0.04763760000000003,0.11149774999999987,10
qwen3-14b,burn,C4_vs_C0,0.015157999999999982,-0.03281600000000001,0.07814404999999995,10
qwen3-14b,change,C3_vs_C0,0.05048999999999999,0.0009991000000000138,0.11434934999999989,10
qwen3-14b,change,C1_vs_C0,0.04010199999999999,0.00887785,0.07327739999999999,10
qwen3-14b,change,C2_vs_C0,0.009153999999999997,-0.016670200000000003,0.03791244999999997,10
qwen3-14b,change,C5_vs_C3,0.143264,0.06358215000000002,0.2372213,10
qwen3-14b,change,C6_vs_C3,0.034005999999999995,-0.016139999999999995,0.08741554999999995,10
qwen3-14b,change,C7_vs_C3,0.11777599999999999,0.062178500000000005,0.1769917999999999,10
qwen3-14b,change,C7_vs_C0,0.16826599999999997,0.08839215000000002,0.2477568,10
qwen3-14b,change,C4_vs_C0,0.042693999999999996,0.00681185,0.08293299999999992,10
qwen3-14b,landcover,C3_vs_C0,0.028337999999999947,0.0009375499999999616,0.06288054999999985,10
qwen3-14b,landcover,C1_vs_C0,0.004073999999999978,-0.030823700000000013,0.03456639999999997,10
qwen3-14b,landcover,C2_vs_C0,0.004177999999999965,-0.02582900000000001,0.0356754999999999,10
qwen3-14b,landcover,C5_vs_C3,0.03207800000000003,-0.011434699999999944,0.08375714999999999,10
qwen3-14b,landcover,C6_vs_C3,0.06979400000000001,0.019304400000000013,0.13325325,10
qwen3-14b,landcover,C7_vs_C3,0.09321400000000002,0.03373995000000004,0.1610566,10
qwen3-14b,landcover,C7_vs_C0,0.12155199999999997,0.055294699999999974,0.19181274999999995,10
qwen3-14b,landcover,C4_vs_C0,0.011051999999999979,-0.019057450000000004,0.04279399999999996,10
qwen3-14b,query,C3_vs_C0,-0.004265999999999996,-0.03575734999999998,0.02746134999999999,10
qwen3-14b,query,C1_vs_C0,-0.007237999999999997,-0.05492009999999999,0.03454855,10
qwen3-14b,query,C2_vs_C0,-0.00635,-0.05500499999999999,0.03919645,10
qwen3-14b,query,C5_vs_C3,-0.031375999999999994,-0.07264174999999999,0.007399949999999906,10
qwen3-14b,query,C6_vs_C3,0.005440000000000005,-0.02556054999999999,0.0324911,10
qwen3-14b,query,C7_vs_C3,-0.011829999999999999,-0.046605249999999994,0.01784984999999999,10
qwen3-14b,query,C7_vs_C0,-0.016095999999999992,-0.03922234999999999,0.007826749999999978,10
qwen3-14b,query,C4_vs_C0,-0.023556,-0.06888879999999997,0.013887299999999988,10
qwen3-14b,water,C3_vs_C0,0.05839200000000001,-0.03831295000000001,0.16793759999999996,10
qwen3-14b,water,C1_vs_C0,-0.04392399999999998,-0.13618260000000001,0.039840900000000005,10
qwen3-14b,water,C2_vs_C0,-0.07696799999999997,-0.20470465,0.04317115000000002,10
qwen3-14b,water,C5_vs_C3,0.038748,-0.06709695,0.14498925,10
qwen3-14b,water,C6_vs_C3,-0.038472000000000006,-0.1368855,0.05582919999999997,10
qwen3-14b,water,C7_vs_C3,-0.010311999999999998,-0.11890904999999997,0.09528104999999998,10
qwen3-14b,water,C7_vs_C0,0.04808000000000001,-0.07956119999999998,0.1733726999999999,10
qwen3-14b,water,C4_vs_C0,-0.029098000000000002,-0.13205065,0.04728834999999998,10
qwen3-8b,burn,C3_vs_C0,0.26216,0.12746305,0.41345239999999955,10
qwen3-8b,burn,C1_vs_C0,0.140565,-0.015529574999999986,0.3319989749999997,10
qwen3-8b,burn,C2_vs_C0,0.15564133333333335,0.04668072500000002,0.2911336583333333,10
qwen3-8b,burn,C5_vs_C3,0.0,0.0,0.0,10
qwen3-8b,burn,C6_vs_C3,0.0,0.0,0.0,10
qwen3-8b,burn,C7_vs_C3,0.0,0.0,0.0,10
qwen3-8b,burn,C7_vs_C0,0.26216,0.130421,0.4098959499999998,10
qwen3-8b,burn,C4_vs_C0,0.09813666666666668,0.013778916666666667,0.22960413333333327,10
qwen3-8b,change,C3_vs_C0,0.23296266666666665,0.12610305,0.33574763333333324,10
qwen3-8b,change,C1_vs_C0,0.004118666666666668,-0.039360008333333335,0.04473461666666664,10
qwen3-8b,change,C2_vs_C0,-0.010481333333333332,-0.056076749999999974,0.027506833333333314,10
qwen3-8b,change,C5_vs_C3,0.0,0.0,0.0,10
qwen3-8b,change,C6_vs_C3,0.0,0.0,0.0,10
qwen3-8b,change,C7_vs_C3,0.0,0.0,0.0,10
qwen3-8b,change,C7_vs_C0,0.23296266666666665,0.1257744583333333,0.3397223833333333,10
qwen3-8b,change,C4_vs_C0,0.019718666666666666,0.0018573416666666656,0.039509875,10
qwen3-8b,landcover,C3_vs_C0,0.1516079999999999,0.08291499999999997,0.2230732499999999,10
qwen3-8b,landcover,C1_vs_C0,-0.04172666666666667,-0.08444766666666667,-0.0006461833333333421,10
qwen3-8b,landcover,C2_vs_C0,-0.355664,-0.39650874999999997,-0.31569205000000006,10
qwen3-8b,landcover,C5_vs_C3,-0.004907999999999968,-0.014973749999999942,0.0038721999999999967,10
qwen3-8b,landcover,C6_vs_C3,-0.0012099999999999889,-0.01395799999999997,0.009332000000000007,10
qwen3-8b,landcover,C7_vs_C3,-0.0012099999999999889,-0.013866349999999961,0.009426000000000012,10
qwen3-8b,landcover,C7_vs_C0,0.15039799999999995,0.07890394999999999,0.2138751999999999,10
qwen3-8b,landcover,C4_vs_C0,-0.23580290476190485,-0.28930466666666665,-0.18803126071428572,10
qwen3-8b,query,C3_vs_C0,0.15572233333333335,0.040219091666666686,0.3292403666666665,10
qwen3-8b,query,C1_vs_C0,0.041396857142857145,0.0007501154761904784,0.09197206547619038,10
qwen3-8b,query,C2_vs_C0,0.025415333333333335,-0.00571955833333333,0.06451999999999995,10
qwen3-8b,query,C5_vs_C3,-0.010652999999999994,-0.07725704999999998,0.039039149999999745,10
qwen3-8b,query,C6_vs_C3,-0.008946333333333327,-0.02879954999999997,0.0075070249999999025,10
qwen3-8b,query,C7_vs_C3,0.0036890000000000074,-0.04364549999999998,0.04299000000000001,10
qwen3-8b,query,C7_vs_C0,0.15941133333333332,0.061529558333333345,0.31699878333333326,10
qwen3-8b,query,C4_vs_C0,0.050127333333333336,0.006716558333333335,0.10503707499999995,10
qwen3-8b,water,C3_vs_C0,0.441988,0.23636055000000009,0.6364911999999999,10
qwen3-8b,water,C1_vs_C0,-0.17070199999999996,-0.25473097499999997,-0.09471960000000004,10
qwen3-8b,water,C2_vs_C0,-0.11586400000000001,-0.17370489999999997,-0.06043920000000003,10
qwen3-8b,water,C5_vs_C3,0.0,0.0,0.0,10
qwen3-8b,water,C6_vs_C3,0.0,0.0,0.0,10
qwen3-8b,water,C7_vs_C3,0.0,0.0,0.0,10
qwen3-8b,water,C7_vs_C0,0.441988,0.22807785000000003,0.6302676499999997,10
qwen3-8b,water,C4_vs_C0,-0.12506,-0.22018294999999993,-0.03067545000000002,10
qwen3.6-27b,burn,C3_vs_C0,0.025738,-0.026916449999999967,0.08795954999999998,10
qwen3.6-27b,burn,C1_vs_C0,0.0066499999999999945,-0.014097649999999975,0.034128099999999974,10
qwen3.6-27b,burn,C2_vs_C0,0.042922,-0.00035004999999998685,0.10141964999999993,10
qwen3.6-27b,burn,C5_vs_C3,-0.014202000000000015,-0.02711620000000002,-0.0040216500000000285,10
qwen3.6-27b,burn,C6_vs_C3,-0.01215599999999999,-0.04471034999999998,0.013453149999999983,10
qwen3.6-27b,burn,C7_vs_C3,-0.005498000000000008,-0.025052150000000013,0.012172399999999974,10
qwen3.6-27b,burn,C7_vs_C0,0.020239999999999998,-0.030651749999999985,0.07276714999999985,10
qwen3.6-27b,burn,C4_vs_C0,0.015211999999999998,-0.019804350000000005,0.0547645,10
qwen3.6-27b,change,C3_vs_C0,0.027366,0.004525499999999988,0.05505309999999997,10
qwen3.6-27b,change,C1_vs_C0,-0.009033999999999997,-0.023378100000000002,0.006004700000000019,10
qwen3.6-27b,change,C2_vs_C0,-0.04742599999999999,-0.08366919999999996,-0.01593180000000002,10
qwen3.6-27b,change,C5_vs_C3,-0.0005220000000000023,-0.011038049999999997,0.010418,10
qwen3.6-27b,change,C6_vs_C3,0.00617399999999999,-0.008124450000000005,0.02503174999999998,10
qwen3.6-27b,change,C7_vs_C3,0.005452000000000004,-0.011573199999999997,0.024839850000000007,10
qwen3.6-27b,change,C7_vs_C0,0.032818,0.0067341000000000345,0.06528884999999997,10
qwen3.6-27b,change,C4_vs_C0,-0.017938,-0.04851739999999998,0.011288499999999972,10
qwen3.6-27b,landcover,C3_vs_C0,0.03366000000000001,0.005415849999999999,0.07080135000000004,10
qwen3.6-27b,landcover,C1_vs_C0,0.034626000000000025,0.00756379999999995,0.06861100000000003,10
qwen3.6-27b,landcover,C2_vs_C0,0.020358000000000022,-0.0031409499999999857,0.05056349999999999,10
qwen3.6-27b,landcover,C5_vs_C3,-0.0034540000000000126,-0.011856699999999987,0.002126049999999993,10
qwen3.6-27b,landcover,C6_vs_C3,-0.0018120000000000302,-0.01063440000000006,0.00650249999999995,10
qwen3.6-27b,landcover,C7_vs_C3,0.0046899999999999945,0.0012519999999999964,0.009588049999999985,10
qwen3.6-27b,landcover,C7_vs_C0,0.03835000000000001,0.009471449999999972,0.07475125000000002,10
qwen3.6-27b,landcover,C4_vs_C0,0.03028000000000001,0.009141949999999994,0.0584692,10
qwen3.6-27b,query,C3_vs_C0,0.0030880000000000187,-0.027049199999999975,0.040629449999999984,10
qwen3.6-27b,query,C1_vs_C0,0.0014240000000000108,-0.014953349999999985,0.020867200000000006,10
qwen3.6-27b,query,C2_vs_C0,-0.004561999999999994,-0.021172699999999992,0.014292300000000003,10
qwen3.6-27b,query,C5_vs_C3,-0.003314000000000007,-0.020626000000000012,0.012903549999999979,10
qwen3.6-27b,query,C6_vs_C3,0.0010999999999999905,-0.016298649999999998,0.0177284,10
qwen3.6-27b,query,C7_vs_C3,0.007157999999999991,-0.01243745,0.03048004999999996,10
qwen3.6-27b,query,C7_vs_C0,0.010246000000000009,-0.00856609999999999,0.04047015000000002,10
qwen3.6-27b,query,C4_vs_C0,0.010418000000000002,-0.020498849999999975,0.04530179999999996,10
qwen3.6-27b,water,C3_vs_C0,0.016577999999999957,-0.029399200000000042,0.06230679999999991,10
qwen3.6-27b,water,C1_vs_C0,0.01691799999999999,-0.019275250000000032,0.05915544999999988,10
qwen3.6-27b,water,C2_vs_C0,0.011239999999999962,-0.029743300000000018,0.049428299999999925,10
qwen3.6-27b,water,C5_vs_C3,-0.01229799999999997,-0.06638054999999995,0.037165099999999944,10
qwen3.6-27b,water,C6_vs_C3,-0.005667999999999986,-0.01693639999999998,0.005822050000000056,10
qwen3.6-27b,water,C7_vs_C3,0.006242000000000006,-0.0167663,0.03822259999999998,10
qwen3.6-27b,water,C7_vs_C0,0.022819999999999962,-0.01401445000000003,0.06199999999999995,10
qwen3.6-27b,water,C4_vs_C0,0.053495999999999974,0.007745799999999967,0.11280759999999995,10
qwen3.6-35b-a3b,burn,C3_vs_C0,0.003841999999999998,-0.04385545,0.06769754999999997,10
qwen3.6-35b-a3b,burn,C1_vs_C0,-0.02750199999999998,-0.06297865000000001,0.00180405000000003,10
qwen3.6-35b-a3b,burn,C2_vs_C0,-0.015063999999999998,-0.03679074999999997,0.006087549999999944,10
qwen3.6-35b-a3b,burn,C5_vs_C3,0.00015400000000001247,-0.017386599999999995,0.01880015000000002,10
qwen3.6-35b-a3b,burn,C6_vs_C3,0.011857999999999994,-0.014394949999999991,0.040781199999999976,10
qwen3.6-35b-a3b,burn,C7_vs_C3,-0.033376,-0.07301699999999998,0.00022034999999994957,10
qwen3.6-35b-a3b,burn,C7_vs_C0,-0.029534000000000005,-0.06624690000000001,0.01005204999999999,10
qwen3.6-35b-a3b,burn,C4_vs_C0,-0.033785499999999996,-0.07787580000000001,-0.0009044874999999819,10
qwen3.6-35b-a3b,change,C3_vs_C0,0.0737805,0.032765699999999995,0.11645860000000002,10
qwen3.6-35b-a3b,change,C1_vs_C0,-0.003075500000000002,-0.018671375000000004,0.009948650000000003,10
qwen3.6-35b-a3b,change,C2_vs_C0,-0.012117499999999996,-0.03321838750000001,0.007963250000000005,10
qwen3.6-35b-a3b,change,C5_vs_C3,-0.007430000000000022,-0.034324750000000015,0.010838299999999976,10
qwen3.6-35b-a3b,change,C6_vs_C3,-0.0035659999999999915,-0.031621649999999994,0.02103039999999999,10
qwen3.6-35b-a3b,change,C7_vs_C3,-0.008681499999999998,-0.02921844999999998,0.009957449999999998,10
qwen3.6-35b-a3b,change,C7_vs_C0,0.06509899999999999,0.02811718750000001,0.1019215625,10
qwen3.6-35b-a3b,change,C4_vs_C0,-0.004079499999999997,-0.02186101249999999,0.01330428749999999,10
qwen3.6-35b-a3b,landcover,C3_vs_C0,0.007729999999999998,-0.006189999999999991,0.020690349999999986,10
qwen3.6-35b-a3b,landcover,C1_vs_C0,-0.004609500000000011,-0.0346227625,0.018891112499999963,10
qwen3.6-35b-a3b,landcover,C2_vs_C0,0.009976499999999966,-0.006311112500000006,0.025777937499999928,10
qwen3.6-35b-a3b,landcover,C5_vs_C3,0.0007399999999999796,-0.010761050000000019,0.012596999999999952,10
qwen3.6-35b-a3b,landcover,C6_vs_C3,-0.0003500000000000281,-0.01226750000000002,0.013386099999999963,10
qwen3.6-35b-a3b,landcover,C7_vs_C3,-0.0061320000000000315,-0.04314775000000001,0.03125714999999994,10
qwen3.6-35b-a3b,landcover,C7_vs_C0,0.0015979999999999662,-0.05236655000000004,0.04569484999999993,10
qwen3.6-35b-a3b,landcover,C4_vs_C0,-0.001010000000000022,-0.038610349999999974,0.025532199999999942,10
qwen3.6-35b-a3b,query,C3_vs_C0,0.04534399999999999,0.003636000000000011,0.10209559999999995,10
qwen3.6-35b-a3b,query,C1_vs_C0,0.02683,-0.007522149999999992,0.07050539999999995,10
qwen3.6-35b-a3b,query,C2_vs_C0,0.025947500000000005,-0.007633599999999997,0.0668416,10
qwen3.6-35b-a3b,query,C5_vs_C3,0.01711700000000001,-0.02233847499999998,0.07186405000000001,10
qwen3.6-35b-a3b,query,C6_vs_C3,0.017366,-0.021740349999999967,0.07362124999999992,10
qwen3.6-35b-a3b,query,C7_vs_C3,-0.011921999999999988,-0.04045619583333329,0.014052008333333327,10
qwen3.6-35b-a3b,query,C7_vs_C0,0.033422,-0.017976320833333326,0.10404858749999993,10
qwen3.6-35b-a3b,query,C4_vs_C0,0.022209999999999994,-0.013418500000000003,0.07293894999999997,10
qwen3.6-35b-a3b,water,C3_vs_C0,0.10337799999999997,-0.01646290000000002,0.21815375000000004,10
qwen3.6-35b-a3b,water,C1_vs_C0,0.04159800000000001,-0.055927099999999945,0.13948814999999995,10
qwen3.6-35b-a3b,water,C2_vs_C0,0.061811499999999985,-0.02030495,0.15756708749999998,10
