model,task,cfg,agent_mean,naive,delta,sub_naive
deepseek-v4-pro,landcover,C2,0.7171259999999999,0.72,-0.002874000000000043,True
deepseek-v4-pro,landcover,C3,0.7157899999999999,0.72,-0.004210000000000047,True
deepseek-v4-pro,landcover,C4,0.7195160000000002,0.72,-0.0004839999999998179,True
deepseek-v4-pro,landcover,C5,0.7221620000000002,0.72,0.0021620000000002193,False
deepseek-v4-pro,landcover,C6,0.722358,0.72,0.0023579999999999712,False
deepseek-v4-pro,landcover,C7,0.715634,0.72,-0.004365999999999981,True
deepseek-v4-pro,query,C0,0.22586,0.19,0.03586,False
deepseek-v4-pro,query,C1,0.223974,0.19,0.033974000000000004,False
deepseek-v4-pro,query,C2,0.207162,0.19,0.01716200000000001,False
deepseek-v4-pro,query,C3,0.219088,0.19,0.029088000000000003,False
deepseek-v4-pro,query,C4,0.21569,0.19,0.02568999999999999,False
deepseek-v4-pro,query,C5,0.207686,0.19,0.017686000000000007,False
deepseek-v4-pro,query,C6,0.2070379999999999,0.19,0.017037999999999887,False
deepseek-v4-pro,query,C7,0.2376039999999999,0.19,0.047603999999999896,False
deepseek-v4-pro,water,C0,0.6832919999999999,0.61,0.07329199999999991,False
deepseek-v4-pro,water,C1,0.632654,0.61,0.022654000000000063,False
deepseek-v4-pro,water,C2,0.6635179999999999,0.61,0.053517999999999954,False
deepseek-v4-pro,water,C3,0.6413760000000001,0.61,0.03137600000000007,False
deepseek-v4-pro,water,C4,0.6900460000000002,0.61,0.08004600000000017,False
deepseek-v4-pro,water,C5,0.641696,0.61,0.03169600000000006,False
deepseek-v4-pro,water,C6,0.672704,0.61,0.06270399999999998,False
deepseek-v4-pro,water,C7,0.6660520000000001,0.61,0.0560520000000001,False
kimi-k2.6,burn,C0,0.333104,0.35,-0.016895999999999967,True
kimi-k2.6,burn,C1,0.3491539999999999,0.35,-0.0008460000000000689,True
kimi-k2.6,burn,C2,0.33429,0.35,-0.015710000000000002,True
kimi-k2.6,burn,C3,0.3633119999999999,0.35,0.013311999999999935,False
kimi-k2.6,burn,C4,0.348688,0.35,-0.0013119999999999798,True
kimi-k2.6,burn,C5,0.3608079999999999,0.35,0.010807999999999929,False
kimi-k2.6,burn,C6,0.349248,0.35,-0.0007519999999999749,True
kimi-k2.6,burn,C7,0.380308,0.35,0.030308,False
kimi-k2.6,change,C0,0.307108,0.25,0.05710799999999999,False
kimi-k2.6,change,C1,0.325114,0.25,0.07511400000000001,False
kimi-k2.6,change,C2,0.301378,0.25,0.05137799999999998,False
kimi-k2.6,change,C3,0.312664,0.25,0.062664,False
kimi-k2.6,change,C4,0.321162,0.25,0.071162,False
kimi-k2.6,change,C5,0.312498,0.25,0.062498,False
kimi-k2.6,change,C6,0.308664,0.25,0.058663999999999994,False
kimi-k2.6,change,C7,0.32297,0.25,0.07296999999999998,False
kimi-k2.6,landcover,C0,0.72027,0.72,0.00026999999999999247,False
kimi-k2.6,landcover,C1,0.7034659999999999,0.72,-0.01653400000000005,True
kimi-k2.6,landcover,C2,0.68117,0.72,-0.03882999999999992,True
kimi-k2.6,landcover,C3,0.7248260000000001,0.72,0.004826000000000108,False
kimi-k2.6,landcover,C4,0.688684,0.72,-0.03131600000000001,True
kimi-k2.6,landcover,C5,0.7213919999999999,0.72,0.0013919999999999488,False
kimi-k2.6,landcover,C6,0.7133120000000001,0.72,-0.006687999999999916,True
kimi-k2.6,landcover,C7,0.713636,0.72,-0.006363999999999925,True
kimi-k2.6,query,C0,0.194792,0.19,0.004791999999999991,False
kimi-k2.6,query,C1,0.18846,0.19,-0.0015400000000000136,True
kimi-k2.6,query,C2,0.18288,0.19,-0.007120000000000015,True
kimi-k2.6,query,C3,0.219692,0.19,0.029691999999999996,False
kimi-k2.6,query,C4,0.1573,0.19,-0.03270000000000001,True
kimi-k2.6,query,C5,0.1849819999999999,0.19,-0.005018000000000106,True
kimi-k2.6,query,C6,0.19561,0.19,0.005610000000000004,False
kimi-k2.6,query,C7,0.190814,0.19,0.0008140000000000092,False
kimi-k2.6,water,C0,0.619334,0.61,0.009334000000000064,False
kimi-k2.6,water,C1,0.647284,0.61,0.037283999999999984,False
kimi-k2.6,water,C2,0.63823,0.61,0.028229999999999977,False
kimi-k2.6,water,C3,0.6344680000000001,0.61,0.024468000000000156,False
kimi-k2.6,water,C4,0.6432899999999999,0.61,0.03328999999999993,False
kimi-k2.6,water,C5,0.6414,0.61,0.031399999999999983,False
kimi-k2.6,water,C6,0.661294,0.61,0.05129400000000006,False
kimi-k2.6,water,C7,0.672236,0.61,0.06223599999999996,False
qwen3-14b,burn,C0,0.18516,0.35,-0.16484,True
qwen3-14b,burn,C1,0.175816,0.35,-0.17418399999999998,True
qwen3-14b,burn,C2,0.1384899999999999,0.35,-0.2115100000000001,True
qwen3-14b,burn,C3,0.173632,0.35,-0.17636799999999997,True
qwen3-14b,burn,C4,0.200318,0.35,-0.14968199999999998,True
qwen3-14b,burn,C5,0.2500979999999999,0.35,-0.0999020000000001,True
qwen3-14b,burn,C6,0.207722,0.35,-0.142278,True
qwen3-14b,burn,C7,0.2150439999999999,0.35,-0.13495600000000008,True
qwen3-14b,change,C0,0.065414,0.25,-0.184586,True
qwen3-14b,change,C1,0.105516,0.25,-0.144484,True
qwen3-14b,change,C2,0.074568,0.25,-0.175432,True
qwen3-14b,change,C3,0.115904,0.25,-0.134096,True
qwen3-14b,change,C4,0.108108,0.25,-0.14189200000000002,True
qwen3-14b,change,C5,0.259168,0.25,0.00916800000000001,False
qwen3-14b,change,C6,0.14991,0.25,-0.10009000000000001,True
qwen3-14b,change,C7,0.23368,0.25,-0.01632,True
qwen3-14b,landcover,C0,0.590452,0.72,-0.129548,True
qwen3-14b,landcover,C1,0.594526,0.72,-0.12547399999999997,True
qwen3-14b,landcover,C2,0.59463,0.72,-0.12536999999999998,True
qwen3-14b,landcover,C3,0.61879,0.72,-0.10121000000000002,True
qwen3-14b,landcover,C4,0.6015039999999999,0.72,-0.11849600000000005,True
qwen3-14b,landcover,C5,0.650868,0.72,-0.06913199999999997,True
qwen3-14b,landcover,C6,0.6885840000000001,0.72,-0.03141599999999989,True
qwen3-14b,landcover,C7,0.712004,0.72,-0.007996000000000003,True
qwen3-14b,query,C0,0.101026,0.19,-0.088974,True
qwen3-14b,query,C1,0.093788,0.19,-0.096212,True
qwen3-14b,query,C2,0.094676,0.19,-0.095324,True
qwen3-14b,query,C3,0.09676,0.19,-0.09324,True
qwen3-14b,query,C4,0.07747,0.19,-0.11253,True
qwen3-14b,query,C5,0.065384,0.19,-0.124616,True
qwen3-14b,query,C6,0.1022,0.19,-0.0878,True
qwen3-14b,query,C7,0.08493,0.19,-0.10507,True
qwen3-14b,water,C0,0.28203,0.61,-0.32797,True
qwen3-14b,water,C1,0.238106,0.61,-0.37189399999999995,True
qwen3-14b,water,C2,0.205062,0.61,-0.404938,True
qwen3-14b,water,C3,0.3404219999999999,0.61,-0.2695780000000001,True
qwen3-14b,water,C4,0.252932,0.61,-0.357068,True
qwen3-14b,water,C5,0.37917,0.61,-0.23082999999999998,True
qwen3-14b,water,C6,0.30195,0.61,-0.30805,True
qwen3-14b,water,C7,0.33011,0.61,-0.27988999999999997,True
qwen3-8b,burn,C0,0.0388,0.35,-0.3112,True
qwen3-8b,burn,C1,0.1656406779661016,0.35,-0.18435932203389838,True
qwen3-8b,burn,C2,0.1975796610169491,0.35,-0.15242033898305088,True
qwen3-8b,burn,C3,0.3009599999999999,0.35,-0.049040000000000084,True
qwen3-8b,burn,C4,0.1297867924528302,0.35,-0.22021320754716978,True
qwen3-8b,burn,C5,0.3009599999999999,0.35,-0.049040000000000084,True
qwen3-8b,burn,C6,0.3009599999999999,0.35,-0.049040000000000084,True
qwen3-8b,burn,C7,0.3009599999999999,0.35,-0.049040000000000084,True
qwen3-8b,change,C0,0.0690018181818181,0.25,-0.1809981818181819,True
qwen3-8b,change,C1,0.0734959999999999,0.25,-0.1765040000000001,True
qwen3-8b,change,C2,0.058896,0.25,-0.191104,True
qwen3-8b,change,C3,0.30234,0.25,0.05234,False
qwen3-8b,change,C4,0.089096,0.25,-0.160904,True
qwen3-8b,change,C5,0.30234,0.25,0.05234,False
qwen3-8b,change,C6,0.30234,0.25,0.05234,False
qwen3-8b,change,C7,0.30234,0.25,0.05234,False
qwen3-8b,landcover,C0,0.565772,0.72,-0.15422799999999992,True
qwen3-8b,landcover,C1,0.5265725490196078,0.72,-0.19342745098039216,True
qwen3-8b,landcover,C2,0.210108,0.72,-0.509892,True
qwen3-8b,landcover,C3,0.71738,0.72,-0.0026199999999999557,True
qwen3-8b,landcover,C4,0.3360127272727272,0.72,-0.3839872727272728,True
qwen3-8b,landcover,C5,0.7124720000000001,0.72,-0.007527999999999868,True
qwen3-8b,landcover,C6,0.7161700000000001,0.72,-0.003829999999999889,True
qwen3-8b,landcover,C7,0.7161700000000001,0.72,-0.003829999999999889,True
qwen3-8b,query,C0,0.0166614035087719,0.19,-0.1733385964912281,True
qwen3-8b,query,C1,0.060243396226415,0.19,-0.129756603773585,True
qwen3-8b,query,C2,0.0414579999999999,0.19,-0.14854200000000012,True
qwen3-8b,query,C3,0.1772178571428571,0.19,-0.012782142857142909,True
qwen3-8b,query,C4,0.0682096153846154,0.19,-0.1217903846153846,True
qwen3-8b,query,C5,0.161112,0.19,-0.028887999999999997,True
qwen3-8b,query,C6,0.1553181818181818,0.19,-0.0346818181818182,True
qwen3-8b,query,C7,0.175454,0.19,-0.014546000000000003,True
qwen3-8b,water,C0,0.204642,0.61,-0.405358,True
qwen3-8b,water,C1,0.0323745762711864,0.61,-0.5776254237288135,True
qwen3-8b,water,C2,0.088778,0.61,-0.521222,True
qwen3-8b,water,C3,0.6466299999999999,0.61,0.03662999999999994,False
qwen3-8b,water,C4,0.0795819999999999,0.61,-0.5304180000000001,True
qwen3-8b,water,C5,0.6466299999999999,0.61,0.03662999999999994,False
qwen3-8b,water,C6,0.6466299999999999,0.61,0.03662999999999994,False
qwen3-8b,water,C7,0.6466299999999999,0.61,0.03662999999999994,False
qwen3.6-27b,burn,C0,0.300004,0.35,-0.049995999999999985,True
qwen3.6-27b,burn,C1,0.306654,0.35,-0.043345999999999996,True
qwen3.6-27b,burn,C2,0.342926,0.35,-0.007073999999999969,True
qwen3.6-27b,burn,C3,0.325742,0.35,-0.024258000000000002,True
qwen3.6-27b,burn,C4,0.3152159999999999,0.35,-0.03478400000000009,True
qwen3.6-27b,burn,C5,0.31154,0.35,-0.038459999999999994,True
qwen3.6-27b,burn,C6,0.313586,0.35,-0.036414,True
qwen3.6-27b,burn,C7,0.3202440000000001,0.35,-0.029755999999999894,True
qwen3.6-27b,change,C0,0.277314,0.25,0.027314000000000005,False
qwen3.6-27b,change,C1,0.26828,0.25,0.01828000000000002,False
qwen3.6-27b,change,C2,0.2298879999999999,0.25,-0.020112000000000102,True
qwen3.6-27b,change,C3,0.30468,0.25,0.054680000000000006,False
qwen3.6-27b,change,C4,0.259376,0.25,0.009375999999999995,False
qwen3.6-27b,change,C5,0.304158,0.25,0.054157999999999984,False
qwen3.6-27b,change,C6,0.310854,0.25,0.06085400000000002,False
qwen3.6-27b,change,C7,0.3101319999999999,0.25,0.06013199999999991,False
qwen3.6-27b,landcover,C0,0.685978,0.72,-0.034022,True
qwen3.6-27b,landcover,C1,0.720604,0.72,0.0006040000000000489,False
qwen3.6-27b,landcover,C2,0.706336,0.72,-0.01366400000000001,True
qwen3.6-27b,landcover,C3,0.7196380000000001,0.72,-0.00036199999999986243,True
qwen3.6-27b,landcover,C4,0.7162580000000002,0.72,-0.003741999999999801,True
qwen3.6-27b,landcover,C5,0.7161839999999999,0.72,-0.0038160000000000416,True
qwen3.6-27b,landcover,C6,0.7178259999999999,0.72,-0.0021740000000001203,True
qwen3.6-27b,landcover,C7,0.724328,0.72,0.0043279999999999985,False
qwen3.6-27b,query,C0,0.2120939999999999,0.19,0.02209399999999989,False
qwen3.6-27b,query,C1,0.213518,0.19,0.02351800000000001,False
qwen3.6-27b,query,C2,0.207532,0.19,0.017531999999999992,False
qwen3.6-27b,query,C3,0.215182,0.19,0.02518200000000001,False
qwen3.6-27b,query,C4,0.222512,0.19,0.032511999999999985,False
qwen3.6-27b,query,C5,0.211868,0.19,0.021868,False
qwen3.6-27b,query,C6,0.216282,0.19,0.026282,False
qwen3.6-27b,query,C7,0.22234,0.19,0.03234000000000001,False
qwen3.6-27b,water,C0,0.626618,0.61,0.01661800000000002,False
qwen3.6-27b,water,C1,0.643536,0.61,0.03353600000000001,False
qwen3.6-27b,water,C2,0.6378579999999999,0.61,0.02785799999999994,False
qwen3.6-27b,water,C3,0.6431960000000001,0.61,0.033196000000000114,False
qwen3.6-27b,water,C4,0.6801140000000002,0.61,0.07011400000000023,False
qwen3.6-27b,water,C5,0.6308980000000001,0.61,0.020898000000000083,False
qwen3.6-27b,water,C6,0.637528,0.61,0.027527999999999997,False
qwen3.6-27b,water,C7,0.6494380000000001,0.61,0.039438000000000084,False
qwen3.6-35b-a3b,burn,C0,0.322436,0.35,-0.027563999999999977,True
qwen3.6-35b-a3b,burn,C1,0.294934,0.35,-0.055066000000000004,True
qwen3.6-35b-a3b,burn,C2,0.307372,0.35,-0.042628,True
qwen3.6-35b-a3b,burn,C3,0.326278,0.35,-0.023721999999999965,True
qwen3.6-35b-a3b,burn,C4,0.291069387755102,0.35,-0.058930612244897984,True
qwen3.6-35b-a3b,burn,C5,0.326432,0.35,-0.023567999999999978,True
qwen3.6-35b-a3b,burn,C6,0.3381359999999999,0.35,-0.011864000000000097,True
qwen3.6-35b-a3b,burn,C7,0.292902,0.35,-0.05709799999999998,True
qwen3.6-35b-a3b,change,C0,0.2404122448979592,0.25,-0.009587755102040796,True
qwen3.6-35b-a3b,change,C1,0.241996,0.25,-0.008004000000000011,True
qwen3.6-35b-a3b,change,C2,0.232954,0.25,-0.017046000000000006,True
qwen3.6-35b-a3b,change,C3,0.3188519999999999,0.25,0.06885199999999991,False
qwen3.6-35b-a3b,change,C4,0.2409919999999999,0.25,-0.0090080000000001,True
qwen3.6-35b-a3b,change,C5,0.311422,0.25,0.06142199999999998,False
qwen3.6-35b-a3b,change,C6,0.315286,0.25,0.06528600000000001,False
qwen3.6-35b-a3b,change,C7,0.2965883720930232,0.25,0.04658837209302319,False
qwen3.6-35b-a3b,landcover,C0,0.703568,0.72,-0.016432000000000002,True
qwen3.6-35b-a3b,landcover,C1,0.6958000000000002,0.72,-0.024199999999999777,True
qwen3.6-35b-a3b,landcover,C2,0.7118142857142857,0.72,-0.00818571428571424,True
qwen3.6-35b-a3b,landcover,C3,0.7112979999999999,0.72,-0.008702000000000099,True
qwen3.6-35b-a3b,landcover,C4,0.7025580000000001,0.72,-0.017441999999999847,True
qwen3.6-35b-a3b,landcover,C5,0.7120380000000001,0.72,-0.007961999999999914,True
qwen3.6-35b-a3b,landcover,C6,0.7109479999999999,0.72,-0.00905200000000006,True
qwen3.6-35b-a3b,landcover,C7,0.7072816326530613,0.72,-0.012718367346938653,True
qwen3.6-35b-a3b,query,C0,0.157508,0.19,-0.03249199999999999,True
qwen3.6-35b-a3b,query,C1,0.184338,0.19,-0.005662,True
qwen3.6-35b-a3b,query,C2,0.1820857142857143,0.19,-0.007914285714285707,True
qwen3.6-35b-a3b,query,C3,0.202852,0.19,0.012852000000000002,False
qwen3.6-35b-a3b,query,C4,0.1833857142857143,0.19,-0.0066142857142857114,True
qwen3.6-35b-a3b,query,C5,0.2147979591836734,0.19,0.02479795918367339,False
qwen3.6-35b-a3b,query,C6,0.220218,0.19,0.030217999999999995,False
qwen3.6-35b-a3b,query,C7,0.2008970588235294,0.19,0.010897058823529399,False
qwen3.6-35b-a3b,water,C0,0.512092,0.61,-0.097908,True
qwen3.6-35b-a3b,water,C1,0.55369,0.61,-0.05630999999999997,True
qwen3.6-35b-a3b,water,C2,0.572895918367347,0.61,-0.037104081632652997,True
qwen3.6-35b-a3b,water,C3,0.61547,0.61,0.005469999999999975,False
qwen3.6-35b-a3b,water,C4,0.587498,0.61,-0.022502000000000022,True
qwen3.6-35b-a3b,water,C5,0.603214,0.61,-0.006785999999999959,True
qwen3.6-35b-a3b,water,C6,0.6054400000000001,0.61,-0.0045599999999998975,True
qwen3.6-35b-a3b,water,C7,0.5797000000000001,0.61,-0.030299999999999883,True
